Moyenne;7,22;Moyenne UE1;7,18;Moyenne UE2;7,77;Moyenne UE3;6,28;Moyenne UE4;7,65;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
N° anonymat ;Moyenne;Rang;Note UE1;Rang UE1;Note UE2;Rang UE2;Note UE3;Rang UE3;Note UE4;Rang UE4;QCM1;QCM2;QCM3;QCM4;QCM5;QCM6;QCM7;QCM8;QCM9;QCM10;QCM11;QCM12;QCM13;QCM14;QCM15;QCM16;QCM17;QCM18;QCM19;QCM20;QCM21;QCM22;QCM23;QCM24;QCM25;QCM26;QCM27;QCM28;QCM29;QCM30;QCM31;QCM32;QCM33;QCM34;QCM35;QCM36;QCM37;QCM38;QCM39;QCM40;QCM41;QCM42;QCM43;QCM44;QCM45;QCM46;QCM47;QCM48;QCM49;QCM50;QCM51;QCM52;QCM53;QCM54;QCM55
1333;5,51;33;5,40;29;7,50;21;4,2;33;4,93;35;DE;BDE;AD;BCD;BD;;;;A;;BDE;ACD;ABCDE;C;AD;ABCDE;B;B;BCD;A;D;AC;AB;E;ABCDE;CE;CDE;BCD;B;AC;ABCD;ABCDE;ABCDE;ABE;ACD;ABCE;ABDE;ACE;ABDE;ABE;ABCDE;AD;BDE;ABDE;ABCE;AE;ABC;ADE;ABE;ACE;ABCDE;BDE;AD;ADE;ACDE
1425;8,95;6;13,40;1;6,80;28;7,6;12;8,00;21;ADE;E;BCDE;BCD;BCD;ABE;CD;ACD;BE;ABCE;ABDE;BC;BDE;C;A;ABCE;B;C;E;ACD;ABC;ABD;AC;BE;;CE;;D;;AC;BC;AB;A;C;CE;C;D;A;BCE;ABCDE;BE;ACD;ACD;ABE;ABCE;;BD;ABCD;CD;;ABDE;CDE;AC;ABC;BC
1467;3,93;40;2,60;40;5,60;35;3,4;35;4,13;38;ABCE;CDE;BCD;BCE;AB;AC;BE;BE;DE;B;BDE;BC;ACE;CE;B;AE;D;A;BD;CE;E;ADE;ABE;ACE;B;C;A;AD;CDE;AC;C;AE;ACE;BCDE;CD;ABCE;ACDE;ACDE;BC;ABCE;CDE;AE;ACE;ABC;CDE;BCE;ABCDE;BCD;ABE;ABCE;ABDE;ADE;ABC;ADE;ACD
1574;5,44;34;5,20;30;7,70;18;3,8;34;5,07;34;ABD;ACE;BDE;BCE;ABE;ACD;AD;ADE;ABE;ABC;ABCE;ABC;ABE;DE;BDE;ACE;A;A;E;ACDE;ACD;ACE;ACD;ACE;ABCE;C;CDE;ABCD;B;ACE;ABC;ADE;ABD;ABC;CDE;ABCE;ABDE;CDE;BDE;BCD;AD;ABCDE;ACDE;ABCD;ACDE;ABCDE;ABCDE;ABCE;ABCD;CDE;ABCDE;BDE;AB;ACE;BCE
1764;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1778;6,00;27;6,60;21;5,00;39;6,8;16;5,60;30;ADE;AD;BC;BCDE;ABCD;AB;C;ACE;AD;CE;ABDE;BD;AD;D;AD;ABCDE;;A;E;A;AD;;BCE;BDE;AC;D;D;E;A;AC;BC;ACE;ABC;ACD;CE;AC;BD;A;C;ABE;CDE;A;CD;ADE;CD;BDE;BCDE;BCDE;C;CDE;ABCDE;BCDE;ACD;AC;DE
2106;6,52;25;5,20;30;8,20;16;7,2;13;5,47;31;ADE;CDE;ACE;BCE;ABCD;AC;CE;ABD;AB;AC;BDE;A;ADE;D;AD;ACD;E;A;B;A;CE;ABCD;ABCE;BE;ABD;D;A;BD;BE;AC;BC;ADE;ACD;ACD;CE;ACE;AB;AE;BCE;AB;ACE;AE;BD;DE;BCE;ACD;ABCDE;CDE;B;ACDE;ABD;BCDE;ABC;ABCD;BDE
2197;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2428;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2562;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2564;5,82;29;7,00;19;7,40;22;3,4;35;5,47;31;DE;ABCE;ABCD;BD;ABC;ABCE;DE;ABDE;AE;BE;BCDE;AB;ABE;BD;A;ACD;;E;E;ABC;;A;ABC;A;;CE;DE;E;A;AC;BCDE;AC;ABCD;CD;ABC;ABCE;BCD;ABCDE;BC;ABE;ABD;ADE;AE;ABCE;BE;CD;ABCDE;ACD;ACDE;;ABCDE;CDE;ABCE;ABCD;ADE
